iso3,ADMIN,country,ABBREV,ECONOMY,INCOME_GRP,continent,REGION_UN,SUBREGION,REGION_WB
AFG,Afghanistan,Afghanistan,Afg.,7. Least developed region,5. Low income,Asia,Asia,Southern Asia,South Asia
AGO,Angola,Angola,Ang.,7. Least developed region,3. Upper middle income,Africa,Africa,Middle Africa,Sub-Saharan Africa
ALB,Albania,Albania,Alb.,6. Developing region,4. Lower middle income,Europe,Europe,Southern Europe,Europe & Central Asia
AND,Andorra,Andorra,And.,2. Developed region: nonG7,2. High income: nonOECD,Europe,Europe,Southern Europe,Europe & Central Asia
ARE,United Arab Emirates,United Arab Emirates,U.A.E.,6. Developing region,2. High income: nonOECD,Asia,Asia,Western Asia,Middle East & North Africa
ARG,Argentina,Argentina,Arg.,5. Emerging region: G20,3. Upper middle income,South America,Americas,South America,Latin America & Caribbean
ARM,Armenia,Armenia,Arm.,6. Developing region,4. Lower middle income,Asia,Asia,Western Asia,Europe & Central Asia
ATA,Antarctica,Antarctica,Ant.,6. Developing region,2. High income: nonOECD,Antarctica,Antarctica,Antarctica,Antarctica
ATG,Antigua and Barbuda,Antigua and Barbuda,Ant.B.,6. Developing region,3. Upper middle income,North America,Americas,Caribbean,Latin America & Caribbean
AU1,Australia,Australia,Auz.,2. Developed region: nonG7,1. High income: OECD,Oceania,Oceania,Australia and New Zealand,East Asia & Pacific
AUT,Austria,Austria,Aust.,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Western Europe,Europe & Central Asia
AZE,Azerbaijan,Azerbaijan,Aze.,6. Developing region,3. Upper middle income,Asia,Asia,Western Asia,Europe & Central Asia
BDI,Burundi,Burundi,Bur.,7. Least developed region,5. Low income,Africa,Africa,Eastern Africa,Sub-Saharan Africa
BEL,Belgium,Belgium,Belg.,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Western Europe,Europe & Central Asia
BEN,Benin,Benin,Benin,7. Least developed region,5. Low income,Africa,Africa,Western Africa,Sub-Saharan Africa
BFA,Burkina Faso,Burkina Faso,B.F.,7. Least developed region,5. Low income,Africa,Africa,Western Africa,Sub-Saharan Africa
